asin,brand,product_title,price,image
B00NKR9MJA,Samsung,"Samsung Galaxy Note 4, Frosted White 32GB (Sprint)",259.98,https://m.media-amazon.com/images/I/A1S4AmmN0pL._AC_UY218_ML3_.jpg
B00NKRE7MW,Samsung,"Samsung Galaxy Note 4, Frosted White 32GB (Verizon Wireless)",0.0,https://m.media-amazon.com/images/I/915izMqyC-L._AC_UY218_ML3_.jpg
B00NO2WXM4,Motorola,"Motorola Moto X - 2nd Generation, Black Resin 16GB (Verizon Wireless)",0.0,https://m.media-amazon.com/images/I/81UpiOZp47L._AC_UY218_ML3_.jpg
B00O15MWOM,Nokia,Nokia Lumia 530 White - No Contract (T-Mobile),133.28,https://m.media-amazon.com/images/I/81ba7gOGt5L._AC_UY218_ML3_.jpg
B00O2ALRNS,Samsung,"Samsung Galaxy S4 SGH-I337 USA GSM Unlocked Cellphone, 16GB, Frost White",154.97,https://m.media-amazon.com/images/I/81suaO+v0mL._AC_UY218_ML3_.jpg
B00O2SW2IY,Motorola,Verizon 4G LTE Moto Luge by Motorola Prepaid Smartphone,74.98,https://m.media-amazon.com/images/I/612FFO+p-3L._AC_UY218_ML3_.jpg
B00OEK6TWU,Samsung,Samsung Galaxy Note 3 N900A 32GB Unlocked GSM Octa-Core Smartphone w/ 13MP Camera - Black,194.0,https://m.media-amazon.com/images/I/91Q7P86ef5L._AC_UY218_ML3_.jpg
B00OZTSY6Y,Motorola,"Motorola DROID Turbo XT1254, Black Ballistic Nylon 32GB (Verizon Wireless)",149.99,https://m.media-amazon.com/images/I/81VMO0UpxfL._AC_UY218_ML3_.jpg
B00PLBFPAS,Nokia,"Nokia Lumia 630 Windows Prepaid SmartPhone, Carrier Locked to Cricket Wireless, No Contract",129.99,https://m.media-amazon.com/images/I/51wHAncQp5L._AC_UY218_ML3_.jpg
B00QFZOYFG,Samsung,Samsung Solstice II A817 Touch Screen (AT&T) No Contract,119.99,https://m.media-amazon.com/images/I/7132aKahVQL._AC_UY218_ML3_.jpg
B00QHJTOK0,Samsung,Samsung Galaxy Centura SCH-S738C - (Net10),0.0,https://m.media-amazon.com/images/I/411mIDKCYzL._AC_UY218_ML3_.jpg
B00SIB3HS0,Samsung,Samsung Galaxy S4 M919 16GB Unlocked GSM 4G LTE Quad-Core Smartphone - White Frost,169.93,https://m.media-amazon.com/images/I/81Kb-5sSTLL._AC_UY218_ML3_.jpg
B00TFAVFL4,Motorola,"Motorola Moto E (2nd Generation) Locked Cellphone, Black",0.0,https://m.media-amazon.com/images/I/81T5JR5djdL._AC_UY218_ML3_.jpg
B00TRLXO6U,Nokia,Nokia Lumia 928 32GB Unlocked GSM 4G LTE Windows Smartphone w/ 8MP Carl Zeiss Optics Camera - Black,0.0,https://m.media-amazon.com/images/I/81CFhqN240L._AC_UY218_ML3_.jpg
B00V7FXCZ2,Samsung,"Samsung Galaxy S6, Black Sapphire 32GB (Verizon Wireless)",0.0,https://m.media-amazon.com/images/I/81Uvtgw9D9L._AC_UY218_ML3_.jpg
B00V7FY44A,Samsung,"Samsung Galaxy S6 Edge, White Pearl 32GB (Verizon Wireless)",0.0,https://m.media-amazon.com/images/I/814WwhaRVuL._AC_UY218_ML3_.jpg
B00V8STWY8,Apple,"Apple iPad Air MF529LL/A (32GB, Wi-Fi + at&T, White with Silver) (Renewed)",219.95,https://m.media-amazon.com/images/I/61ckVdsUlZL._AC_UY218_ML3_.jpg
B00VH2TWBS,Samsung,Samsung GALAXY S6 G920 32GB Unlocked GSM 4G LTE Octa-Core Smartphone - Black Sapphire,0.0,https://m.media-amazon.com/images/I/81Z0DX6B3bL._AC_UY218_ML3_.jpg
B00VQQ294C,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed),0.0,https://m.media-amazon.com/images/I/41iauuPg5IL._AC_UY218_ML3_.jpg
B00WF988BW,Samsung,Samsung Convoy 3 SCH-U680 Rugged 3G Cell Phone Verizon Wireless,169.98,https://m.media-amazon.com/images/I/71Q7aSSyOkL._AC_UY218_ML3_.jpg
B00WHE2WCG,Samsung,Samsung Galaxy S6 G920A 32GB Unlocked GSM 4G LTE Octa-Core Android Smartphone with 16MP Camera - Black Sapphire,219.88,https://m.media-amazon.com/images/I/81oYNE1MUxL._AC_UY218_ML3_.jpg
B00WIYFBWI,Samsung,Samsung Galaxy S6 Edge G925F 32GB Unlocked Phone - Retail Packaging - Black Sapphire,630.71,https://m.media-amazon.com/images/I/71MayBWnHjL._AC_UY218_ML3_.jpg
B00X2ZQ5RM,Samsung,Samsung Galaxy S6 32GB G920A AT&T Unlocked - Gold Platinum,0.0,https://m.media-amazon.com/images/I/91JHyj8K0FL._AC_UY218_ML3_.jpg
B00XQVDW6Y,Motorola,Motorola Moto E LTE - No Contract Phone (U.S. Cellular),89.99,https://m.media-amazon.com/images/I/51y0QQ7Z4KL._AC_UY218_ML3_.jpg
B00ZE8HRYK,Samsung,"Samsung Galaxy S6 Active, 32 GB , Grey (AT&T)",585.28,https://m.media-amazon.com/images/I/81zlazvfjBL._AC_UY218_ML3_.jpg
B010CK8O9Q,Sony,"Sony Xperia Z3 Plus E6533 32GB Black 3G/4G, Dual SIM Unlocked Factory 4G LTE - International Version No Warranty",0.0,https://m.media-amazon.com/images/I/41+xyOdkmiL._AC_UY218_ML3_.jpg
